Gene ID,Niche,Effect Size Posterior Median (95% CI) ,Odds Ratio Posterior Median (95% CI)Ê,Probability Posterior Median (95% CI)Ê
NZ_KP056256.1_146,livestock,"1.09761 [0.504229,Ê 1.6683]","2.99699 [1.65571,Ê 5.30314]","0.0365629 [0.0230418,Ê 0.054624]"
NZ_AP027706.1_49,livestock,"0.717163 [0.303226,Ê 1.12099]","2.04861 [1.35422,Ê 3.06788]","0.068942 [0.0496707,Ê 0.0923661]"
AP027468.1_321,livestock,"0.657125 [0.0100891,Ê 1.26506]","1.92924 [1.01014,Ê 3.54332]","0.0261845 [0.0152206,Ê 0.0415919]"
NZ_MN732922.1_254,livestock,"0.629773 [0.0073214,Ê 1.22236]","1.87718 [1.00735,Ê 3.39518]","0.0268322 [0.0158482,Ê 0.0421748]"
AP026508.1_104,livestock,"0.618035 [0.0686537,Ê 1.14049]","1.85528 [1.07107,Ê 3.12832]","0.0350544 [0.0220889,Ê 0.0522528]"
OV141395.1_159,livestock,"0.574909 [0.202479,Ê 0.936713]","1.77697 [1.22443,Ê 2.55158]","0.0822178 [0.0612746,Ê 0.107389]"
NZ_KP056256.1_146,environmental,"0.464809 [-0.164893,Ê 1.14451]","1.59171 [0.847985,Ê 3.14089]","0.019868 [0.0108545,Ê 0.0351412]"
NZ_CP049291.1_137,wastewater,"0.421126 [0.0461942,Ê 0.801302]","1.52368 [1.04728,Ê 2.22844]","0.117937 [0.0857279,Ê 0.159779]"
NZ_AP027706.1_49,wastewater,"0.405446 [-0.0696489,Ê 0.911606]","1.49997 [0.932721,Ê 2.48832]","0.0515051 [0.0329962,Ê 0.0793892]"
NZ_CP049291.1_137,livestock,"0.357358 [0.0396084,Ê 0.665732]","1.42955 [1.0404,Ê 1.94591]","0.111429 [0.0870594,Ê 0.139893]"
OV141395.1_159,wastewater,"0.350767 [-0.0835098,Ê 0.805569]","1.42016 [0.919882,Ê 2.23797]","0.0668758 [0.0451947,Ê 0.0978839]"
AP026508.1_104,food,"0.327017 [-0.230578,Ê 1.05305]","1.38683 [0.794075,Ê 2.86639]","0.0265588 [0.0149744,Ê 0.0511593]"
NZ_CP142966.1_27,livestock,"0.317553 [-0.24398,Ê 0.849137]","1.37376 [0.783503,Ê 2.33763]","0.0307696 [0.0189454,Ê 0.0470236]"
NC_010870.1_119,wastewater,"0.309953 [-0.0509427,Ê 0.65824]","1.36336 [0.950333,Ê 1.93139]","0.135444 [0.100275,Ê 0.177841]"
AP027468.1_321,wastewater,"0.300281 [-0.35622,Ê 1.03701]","1.35024 [0.700318,Ê 2.82076]","0.0185786 [0.00965485,Ê 0.0356596]"
NZ_CP139811.1_48,environmental,"0.296888 [-0.0872865,Ê 0.686212]","1.34567 [0.916414,Ê 1.98618]","0.0841866 [0.0604671,Ê 0.115325]"
NZ_CP115377.1_59,wildlife,"0.293731 [-0.165408,Ê 0.815063]","1.34142 [0.847548,Ê 2.25932]","0.0518386 [0.0340827,Ê 0.0803009]"
