effect_size_posterior_median_95CI,Odds Ratio Posterior Median (95% CI),Probability Posterior Median (95% CI)
1.09541 [0.507551; 1.6759],2.9904 [1.66122; 5.34361],0.0366259 [0.0224386; 0.0561525]
0.713689 [0.306045; 1.11221],2.04151 [1.35804; 3.04106],0.0686463 [0.0479895; 0.0950205]
0.656701 [0.0191007; 1.2607],1.92842 [1.01928; 3.5279],0.0262335 [0.0149319; 0.0425943]
0.63117 [0.00890717; 1.21735],1.87981 [1.00895; 3.37823],0.0268411 [0.015572; 0.0433328]
0.62085 [0.0650396; 1.13966],1.86051 [1.0672; 3.12571],0.0351082 [0.0214866; 0.054049]
0.574225 [0.204145; 0.934466],1.77575 [1.22648; 2.54585],0.0822879 [0.0592305; 0.111475]
0.467516 [-0.168574; 1.1469],1.59602 [0.844868; 3.14842],0.0199008 [0.010581; 0.0358659]
0.420976 [0.0423926; 0.80397],1.52345 [1.0433; 2.23439],0.118123 [0.0832898; 0.164563]
0.403584 [-0.0722063; 0.913267],1.49718 [0.930339; 2.49245],0.051522 [0.0321039; 0.0808292]
0.356961 [0.0398267; 0.662793],1.42898 [1.04063; 1.9402],0.111448 [0.0833769; 0.144914]
0.348829 [-0.0867494; 0.802118],1.41741 [0.916907; 2.23026],0.066978 [0.0435967; 0.100448]
0.327586 [-0.239665; 1.06755],1.38761 [0.786892; 2.90824],0.0266133 [0.014633; 0.0524529]
0.319593 [-0.248159; 0.851314],1.37657 [0.780236; 2.34272],0.0307892 [0.0185505; 0.0486409]
0.308349 [-0.0447497; 0.655502],1.36118 [0.956237; 1.92611],0.135552 [0.0974852; 0.183696]
0.296055 [-0.346059; 1.02834],1.34454 [0.707471; 2.79642],0.0185653 [0.00965902; 0.0358218]
0.294712 [-0.0880007; 0.689825],1.34274 [0.91576; 1.99337],0.0841638 [0.058451; 0.119371]
0.291302 [-0.164625; 0.8149],1.33817 [0.848212; 2.25895],0.051733 [0.0329996; 0.0821211]
0.285416 [-0.147853; 0.782582],1.33031 [0.862558; 2.18711],0.0546792 [0.0354726; 0.0846189]
0.274734 [-0.0800733; 0.657396],1.31618 [0.923049; 1.92976],0.103746 [0.0738159; 0.144747]
0.271306 [-0.332143; 1.22692],1.31168 [0.717385; 3.41071],0.0545255 [0.0289122; 0.127546]
0.268463 [-0.194631; 0.742543],1.30795 [0.823138; 2.10127],0.0505632 [0.0325893; 0.0775409]
0.236617 [-0.396462; 1.17278],1.26696 [0.672696; 3.23095],0.0494946 [0.0257922; 0.116111]
0.222469 [-0.487606; 1.01926],1.24916 [0.614095; 2.77114],0.0157816 [0.00737119; 0.0334435]
0.219589 [-0.296276; 0.780112],1.24556 [0.743582; 2.18172],0.0432589 [0.0254422; 0.0728999]
0.212015 [-0.420984; 0.889882],1.23617 [0.656401; 2.43484],0.0155623 [0.00797794; 0.0293307]
0.211722 [-0.389978; 1.08403],1.2358 [0.677072; 2.95657],0.0633151 [0.0338996; 0.136718]
0.210774 [-0.231083; 0.670497],1.23463 [0.793674; 1.95521],0.0508136 [0.0331125; 0.0769804]
0.20247 [-0.118187; 0.521121],1.22442 [0.888529; 1.68391],0.103501 [0.077084; 0.136521]
0.198284 [-0.104979; 0.489346],1.21931 [0.900344; 1.63125],0.123068 [0.0930027; 0.158706]
0.196238 [-0.250212; 0.687039],1.21682 [0.778636; 1.98782],0.04225 [0.0267744; 0.0661273]
0.194421 [-0.16375; 0.542262],1.21461 [0.848954; 1.71989],0.0963577 [0.0682874; 0.131427]
0.18743 [-0.282785; 0.654412],1.20615 [0.753682; 1.92401],0.0417513 [0.0263746; 0.063614]
0.183684 [-0.477302; 1.06013],1.20164 [0.620455; 2.88676],0.0495523 [0.0252064; 0.111066]
0.183657 [-0.441545; 0.9259],1.2016 [0.643042; 2.52414],0.0175262 [0.00895231; 0.034934]
0.181526 [-0.231424; 0.61795],1.19905 [0.793403; 1.85512],0.0571811 [0.0378289; 0.0857248]
0.179918 [-0.415423; 0.854686],1.19712 [0.660061; 2.35064],0.0166197 [0.00880551; 0.0306842]
0.173907 [-0.252423; 0.587279],1.18995 [0.776916; 1.79909],0.0567089 [0.037376; 0.0833293]
0.169113 [-0.162122; 0.489333],1.18425 [0.850337; 1.63123],0.119793 [0.0876009; 0.15946]
0.1592 [-0.183701; 0.504981],1.17257 [0.832184; 1.65695],0.119187 [0.0854626; 0.161697]
0.157552 [-0.271991; 0.603585],1.17064 [0.761861; 1.82866],0.0933183 [0.0611407; 0.139263]
0.156401 [-0.496246; 1.19639],1.1693 [0.608812; 3.30815],0.0486707 [0.0248499; 0.123411]
0.153517 [-0.248919; 0.582341],1.16593 [0.779643; 1.79023],0.118595 [0.0801648; 0.173367]
0.151746 [-1.79516; 2.69807],1.16386 [0.166101; 14.851],0.0262083 [0.00374471; 0.255398]
0.150311 [-0.202225; 0.493772],1.1622 [0.816911; 1.63849],0.098823 [0.0709043; 0.134621]
0.147911 [-0.341144; 0.64731],1.15941 [0.710956; 1.91039],0.0554067 [0.0336987; 0.0889463]
0.129327 [-0.570514; 0.853233],1.13806 [0.565235; 2.34722],0.0157576 [0.00744351; 0.0314121]
0.124725 [-0.36176; 0.701346],1.13284 [0.69645; 2.01646],0.0443092 [0.0268672; 0.0758429]
0.11585 [-0.721461; 1.36267],1.12283 [0.486042; 3.90663],0.0142736 [0.0057026; 0.0464897]
0.114162 [-0.480741; 0.759319],1.12093 [0.618325; 2.13682],0.0253956 [0.0136992; 0.0470743]
0.109268 [-0.554126; 0.739996],1.11546 [0.574574; 2.09593],0.0153715 [0.00782947; 0.027821]
0.0999608 [-0.626747; 1.07337],1.10513 [0.534328; 2.92523],0.0433106 [0.0206739; 0.105632]
0.0963251 [-0.319818; 0.476262],1.10112 [0.726281; 1.61004],0.093844 [0.0633986; 0.133013]
0.091562 [-0.745685; 1.25592],1.09588 [0.474409; 3.51106],0.0152662 [0.00619388; 0.0455944]
0.0755673 [-0.364297; 0.507923],1.0785 [0.694685; 1.66184],0.092336 [0.0601467; 0.138374]
0.0694416 [-0.86682; 1.03719],1.07191 [0.420286; 2.82127],0.0151868 [0.00577545; 0.0391428]
0.0634822 [-0.787981; 1.12296],1.06554 [0.454762; 3.07394],0.0148865 [0.0059274; 0.0407891]
0.0370308 [-0.615825; 0.748834],1.03773 [0.540195; 2.11453],0.106671 [0.0570055; 0.196618]
0.035951 [-0.410851; 0.480508],1.03661 [0.663086; 1.6169],0.0661889 [0.0428064; 0.0999038]
0.0333774 [-0.652841; 0.698455],1.03394 [0.520565; 2.01064],0.0149792 [0.00737162; 0.0281832]
0.0317433 [-0.48876; 0.540781],1.03225 [0.613386; 1.71735],0.0290585 [0.0172773; 0.0466009]
0.02991 [-0.891421; 1.04322],1.03036 [0.410073; 2.83835],0.0149455 [0.00576591; 0.0401109]
0.0278775 [-1.73939; 1.81856],1.02827 [0.175627; 6.16296],0.082794 [0.0150468; 0.352184]
0.0250919 [-1.7494; 1.72935],1.02541 [0.173879; 5.63698],0.105092 [0.019527; 0.393626]
0.020902 [-0.441666; 0.492464],1.02112 [0.642964; 1.63634],0.07091 [0.0450275; 0.111062]
0.0174009 [-1.85396; 1.82247],1.01755 [0.156616; 6.18715],0.0871339 [0.0143188; 0.372103]
0.0153341 [-0.787758; 0.824554],1.01545 [0.454864; 2.28086],0.0353885 [0.0156962; 0.0759058]
0.0143547 [-1.89821; 1.88772],1.01446 [0.149837; 6.6043],0.0703841 [0.0110773; 0.333478]
0.0126477 [-1.96224; 1.95851],1.01273 [0.140543; 7.08878],0.0647075 [0.00945165; 0.327067]
0.00853461 [-0.611679; 0.578256],1.00857 [0.54244; 1.78293],0.0193482 [0.0103684; 0.033176]
0.00758631 [-0.560418; 0.549247],1.00762 [0.570971; 1.73195],0.0354292 [0.0199467; 0.0598403]
0.00117427 [-0.594271; 0.578841],1.00117 [0.551964; 1.78397],0.028244 [0.0153374; 0.0491688]
0.00112966 [-0.916903; 0.926717],1.00113 [0.399755; 2.5262],0.0192296 [0.00739728; 0.0469483]
-0.00379684 [-0.675753; 0.595151],0.99621 [0.508773; 1.8133],0.0190775 [0.00963504; 0.0343343]
-0.00456648 [-0.442498; 0.390378],0.995444 [0.642429; 1.47754],0.0635652 [0.0416198; 0.0922253]
-0.00469946 [-1.80903; 1.72607],0.995312 [0.163814; 5.61851],0.0859475 [0.0150543; 0.347086]
-0.00768788 [-2.1201; 2.13772],0.992342 [0.12002; 8.48011],0.040798 [0.00501207; 0.267596]
-0.0128623 [-0.60293; 0.52165],0.98722 [0.547206; 1.6848],0.0277857 [0.0161906; 0.0443911]
-0.0134306 [-0.772126; 0.667886],0.986659 [0.46203; 1.95011],0.0797434 [0.0386655; 0.147684]
-0.0165915 [-0.83838; 0.689756],0.983545 [0.43241; 1.99323],0.0471832 [0.0211083; 0.0926493]
-0.0182176 [-0.864374; 0.67229],0.981947 [0.421315; 1.95872],0.0122629 [0.00520568; 0.0241602]
-0.0292309 [-0.7687; 0.60974],0.971192 [0.463615; 1.83995],0.0622831 [0.0302445; 0.112665]
-0.0301993 [-1.13395; 0.939081],0.970252 [0.321758; 2.55763],0.0121229 [0.00382515; 0.0316622]
-0.033614 [-0.94437; 0.753677],0.966945 [0.388925; 2.1248],0.0271757 [0.0108694; 0.0582808]
-0.0352562 [-0.713704; 0.574305],0.965358 [0.489826; 1.7759],0.0139468 [0.00698403; 0.0252051]
-0.0355381 [-0.436705; 0.319883],0.965086 [0.646162; 1.37697],0.0833306 [0.0566443; 0.116851]
-0.0446932 [-0.76713; 0.588835],0.956291 [0.464344; 1.80189],0.0665754 [0.0329279; 0.120817]
-0.0459683 [-0.956954; 0.739455],0.955072 [0.384061; 2.09479],0.048889 [0.0201928; 0.101733]
-0.0470053 [-0.568108; 0.445952],0.954082 [0.566596; 1.56198],0.0335027 [0.0205506; 0.0518622]
-0.0551319 [-0.725716; 0.545077],0.94636 [0.483978; 1.72474],0.0136806 [0.00685391; 0.0248002]
-0.0637812 [-0.576531; 0.409796],0.93821 [0.561844; 1.50651],0.0368515 [0.0229305; 0.0559924]
-0.0653327 [-1.40888; 0.746502],0.936756 [0.244416; 2.10961],0.0217445 [0.00582091; 0.04975]
-0.067429 [-0.988457; 0.59542],0.934794 [0.37215; 1.81379],0.0598466 [0.0246155; 0.111543]
-0.0686105 [-0.562955; 0.35168],0.93369 [0.569523; 1.42145],0.0841897 [0.0524758; 0.125981]
-0.0698241 [-1.31324; 0.80141],0.932558 [0.268946; 2.22868],0.0130516 [0.00372829; 0.0317915]
-0.0715428 [-0.606417; 0.431369],0.930956 [0.545301; 1.53936],0.0366236 [0.0214676; 0.0591873]
-0.073246 [-0.721739; 0.482704],0.929372 [0.485906; 1.62045],0.0178325 [0.00920928; 0.0306808]
-0.0763881 [-0.921599; 0.551679],0.926457 [0.397882; 1.73617],0.0801108 [0.0355828; 0.142817]
-0.0812889 [-0.50545; 0.317088],0.921927 [0.603234; 1.37312],0.0833782 [0.0557582; 0.12061]
-0.0900221 [-0.840392; 0.479108],0.913911 [0.431541; 1.61463],0.0824765 [0.0401335; 0.140121]
-0.0912599 [-0.648715; 0.370631],0.91278 [0.522717; 1.44865],0.0586872 [0.0340241; 0.0912284]
-0.0922605 [-0.753318; 0.571175],0.911868 [0.470802; 1.77035],0.0129088 [0.006403; 0.024699]
-0.0964778 [-0.830276; 0.453741],0.90803 [0.435929; 1.57419],0.094252 [0.0472074; 0.155403]
-0.0991826 [-1.19597; 0.632906],0.905577 [0.302409; 1.88307],0.0373195 [0.012725; 0.0767735]
-0.103782 [-1.36032; 0.627887],0.901422 [0.256579; 1.87365],0.0201008 [0.0057861; 0.0426539]
-0.103932 [-1.12955; 0.556587],0.901286 [0.323179; 1.74471],0.0252587 [0.00915695; 0.0501964]
-0.104862 [-1.49256; 0.67344],0.900449 [0.224795; 1.96097],0.0224984 [0.00576541; 0.0501389]
-0.118406 [-0.746728; 0.426163],0.888335 [0.473915; 1.53137],0.0200514 [0.0107412; 0.0338599]
-0.120289 [-1.09882; 0.518349],0.886664 [0.333264; 1.67925],0.030863 [0.0116202; 0.0587987]
-0.138642 [-0.812901; 0.438853],0.87054 [0.443569; 1.55093],0.0197007 [0.00992907; 0.0346227]
-0.148132 [-1.18193; 0.454638],0.862317 [0.306687; 1.5756],0.0603792 [0.0225262; 0.10797]
-0.148925 [-1.01409; 0.400972],0.861634 [0.362732; 1.49328],0.0700573 [0.0304161; 0.118849]
-0.150523 [-1.12225; 0.437379],0.860258 [0.325547; 1.54864],0.0412991 [0.0156791; 0.07462]
-0.150892 [-0.628124; 0.270431],0.859941 [0.533592; 1.31053],0.0604433 [0.0379328; 0.0902288]
-0.152903 [-1.37781; 0.485916],0.858213 [0.252129; 1.62566],0.0299746 [0.00901364; 0.058047]
-0.157131 [-1.47257; 0.587105],0.854592 [0.229336; 1.79877],0.0121774 [0.00328161; 0.0269556]
-0.157631 [-1.38956; 0.471595],0.854165 [0.249184; 1.60255],0.0334459 [0.0100891; 0.0635057]
-0.161035 [-1.23536; 0.458341],0.851263 [0.290731; 1.58145],0.0297256 [0.0104056; 0.0563711]
-0.161208 [-0.75317; 0.347166],0.851115 [0.470872; 1.41505],0.0300299 [0.0167971; 0.0492235]
-0.175027 [-1.25724; 0.429939],0.839434 [0.284439; 1.53716],0.032742 [0.0113268; 0.0612013]
-0.175815 [-0.833407; 0.338297],0.838773 [0.434566; 1.40256],0.018868 [0.00973093; 0.0319225]
-0.176188 [-1.25746; 0.409741],0.83846 [0.284375; 1.50643],0.0759408 [0.0271994; 0.132636]
-0.17835 [-1.80025; 0.59573],0.83665 [0.165258; 1.81435],0.020946 [0.00430927; 0.0463888]
-0.183824 [-0.65375; 0.20759],0.832082 [0.520092; 1.23071],0.0583987 [0.0371816; 0.0853445]
-0.190162 [-0.703839; 0.261919],0.826825 [0.494682; 1.29942],0.0426156 [0.0258348; 0.0662821]
-0.192127 [-0.824149; 0.288837],0.825202 [0.438608; 1.33487],0.0232124 [0.0124686; 0.0378593]
-0.195489 [-1.52448; 0.489507],0.822433 [0.217735; 1.63151],0.015569 [0.00419; 0.0323996]
-0.196315 [-0.719838; 0.267756],0.821752 [0.486831; 1.30703],0.0324483 [0.0194203; 0.050623]
-0.200121 [-1.53158; 0.462045],0.818631 [0.216194; 1.58732],0.0182415 [0.00487916; 0.0370449]
-0.202799 [-1.12781; 0.331458],0.816442 [0.323742; 1.393],0.0709779 [0.0292202; 0.119757]
-0.207549 [-0.766725; 0.277258],0.812573 [0.464532; 1.31951],0.0286584 [0.0164966; 0.0459595]
-0.207908 [-0.655549; 0.154609],0.812282 [0.519157; 1.1672],0.0740051 [0.0481793; 0.104827]
-0.208248 [-0.900985; 0.303216],0.812005 [0.40617; 1.35421],0.0338278 [0.0170476; 0.0569237]
-0.21661 [-1.97507; 0.573988],0.805244 [0.138751; 1.77533],0.0186246 [0.00328766; 0.0423414]
-0.221082 [-0.823656; 0.297529],0.801651 [0.438824; 1.34653],0.0335187 [0.0185404; 0.0549466]
-0.241061 [-0.83505; 0.200919],0.785794 [0.433853; 1.22253],0.0309537 [0.0172306; 0.0487041]
-0.246558 [-0.666238; 0.143197],0.781486 [0.513637; 1.15396],0.0552433 [0.0372742; 0.0789193]
-0.261618 [-0.925835; 0.277564],0.769805 [0.3962; 1.31991],0.0217545 [0.0112338; 0.0371743]
