Gene,Niche,Effect Size Posterior Median (95% CI),OR Posterior Median (95% CI) ,Probability Posterior Median (95% CI) 
aadA25,livestock,"1.098  [0.504, 1.668]","2.997 [1.656, 5.303]","0.037 [0.023, 0.055]"
qacL,livestock,"0.717 [0.303, 1.121]","2.049 [1.354, 3.068]","0.069 [0.050, 0.092]"
lnu(F),livestock,"0.657 [0.010, 1.265]","1.929 [1.010, 3.543]","0.026 [0.015, 0.042]"
estX,livestock,"0.630 [0.007, 1.222]","1.877 [1.007, 3.395]","0.027 [0.016, 0.042]"
HAD family hydrolase,livestock,"0.618 [0.069, 1.140]","1.855 [1.071, 3.128]","0.035 [0.022, 0.052]"
cmlA1,livestock,"0.575 [0.202, 0.937]","1.777 [1.224, 2.552]","0.082 [0.061, 0.107]"
dfrA12,wastewater,"0.421 [0.046, 0.801]","1.524 [1.047, 2.228]","0.118 [0.086, 0.160]"
dfrA12,livestock,"0.357 [0.040, 0.666]","1.430 [1.040, 1.946]","0.111 [0.087, 0.140]"
dfrA17,livestock,"-0.531 [-1.129, -0.007]","0.588 [0.323, 0.994]","0.025 [0.014, 0.039]"
catB3,environmental,"-0.605 [-1.242, -0.94]","0.545 [0.289, 0.910]","0.029 [0.016, 0.046]"
blaOXA,environmental,"-0.651 [-1.357, -0.097]","0.521 [0.257, 0.907]","0.022 [0.011, 0.037]"
aadA5,livestock,"-0.735 [-1.423, -0.140]","0.479 [0.241, 0.869]","0.019 [0.010, 0.032]"
blaOXA,wastewater,"-0.789 [-1.599, -0.168]","0.454 [0.202, 0.845]","0.019 [0.009, 0.035]"
blaIMP-1,environmental,"-1.037 [-2.146, -0.271]","0.355 [0.117, 0.762]","0.008 [0.003, 0.018]"
aac(6')-IIc,livestock,"-1.122 [-2.392, -0.168]","0.326 [0.091, 0.845]","0.005 [0.001, 0.011]"
blaVIM,wastewater,"-1.143 [-2.399, -0.314]","0.319 [0.091, 0.730]","0.008 [0.002, 0.018]"
blaIMP-1,wastewater,"-1.258 [-2.559, -0.373]","0.284 [0.077, 0.688]","0.007 [0.002, 0.016]"
blaOXA,livestock,"-1.483 [-2.368, -0.765]","0.227 [0.094, 0.465]","0.010 [0.004, 0.019]"
catB3,livestock,"-1.528 [-2.327, -0.832]","0.221 [0.098, 0.435]","0.012 [0.005, 0.022]"
blaVIM,livestock,"-1.920 [-3.451, -0.877]","0.147 [0.032, 0.416]","0.004 [0.001, 0.010]"
blaIMP-1,livestock,"-2.275 [-3.995, -1.110]","0.103 [0.018, 0.329]","0.002 [0.0004, 0.007]"
