Gene,Niche,Effect Size Posterior Median (95% CI) ,Odds Ratio Posterior Median (95% CI),Probability Posterior Median (95% CI) 
aadA25,livestock,"1.0954 [0.508, 1.676]","2.990 [1.661, 5.344]","0.037 [0.022, 0.056]"
qacL,livestock,"0.714 [0.306, 1.112]","2.042 [1.358, 3.041]","0.069 [0.048, 0.095]"
lnu(F),livestock,"0.657 [0.019, 1.261]","1.928 [1.019, 3.528]","0.026 [0.015, 0.043]"
estX,livestock,"0.631 [0.009, 1.217]","1.880 [1.009, 3.378]","0.0267 [0.016, 0.043]"
HAD Family hydrolase,livestock,"0.621 [0.065, 1.140]","1.861 [1.067, 3.126]","0.035 [0.021, 0.054]"
cmlA1,livestock,"0.574 [0.204, 0.934]","1.776 [1.226, 2.546]","0.082 [0.059, 0.111]"
dfrA12,wastewater,"0.421 [0.042, 0.804]","1.523 [1.043, 2.234]","0.118 [0.083, 0.165]"
dfrA12,livestock,"0.357 [0.040, 0.663]","1.429 [1.041, 1.940]","0.111 [0.083, 0.145]"
catB3,environmental,"-0.606 [-1.241, -0.096]","0.546 [0.289, 0.908]","0.029 [0.016, 0.047]"
blaOXA,environmental,"-0.651 [-1.359, -0.091","0.521 [0.257, 0.913]","0.022 [0.011, 0.038]"
aadA5,livestock,"-0.735 [-1.413, -0.148]","0.480 [0.243, 0.862]","0.019 [0.010, 0.033]"
blaOXA,wastewater,"-0.790 [-1.613, -0.167]","0.454 [0.199, 0.847]","0.019 [0.009, 0.036]"
blaIMP-1,environmental,"-1.045 [-2.158, -0.268]","0.352 [0.116, 0.765]","0.008 [0.003, 0.018]"
aac(6')-IIc,livestock,"-1.123 [-2.380, -0.148]","0.325 [0.093, 0.862]","0.005 [0.001, 0.012]"
blaVIM,wastewater,"-1.133 [-2.380, -0.307]","0.322 [0.093, 0.735]","0.008 [0.002, 0.019]"
blaIMP-1,wastewater,"-1.251 [-2.562, -0.376]","0.286 [0.077, 0.687]","0.007 [0.002, 0.016]"
blaOXA,livestock,"-1.491 [-2.368, -0.750]","0.225 [0.094, 0.473]","0.010 [0.004, 0.020]"
catB3,livestock,"-1.510 [-2.331, -0.833]","0.221 [0.097, 0.435]","0.012 [0.005, 0.023]"
blaVIM,livestock,"-1.912 [-3.428, -0.870]","0.148 [0.032, 0.419]","0.004 [0.001, 0.010]"
blaIMP-1,livestock,"-2.273 [-3.991, -1.111]","0.103 [0.018, 0.329]","0.002 [0.0005, 0.008]"
