effect_size_posterior_median_95CI,Odds Ratio Posterior Median (95% CI) ,Probability Posterior Median (95% CI) 
"1.09761 [0.504229,  1.6683]","2.99699 [1.65571,  5.30314]","0.0365629 [0.0230418,  0.054624]"
"0.717163 [0.303226,  1.12099]","2.04861 [1.35422,  3.06788]","0.068942 [0.0496707,  0.0923661]"
"0.657125 [0.0100891,  1.26506]","1.92924 [1.01014,  3.54332]","0.0261845 [0.0152206,  0.0415919]"
"0.629773 [0.0073214,  1.22236]","1.87718 [1.00735,  3.39518]","0.0268322 [0.0158482,  0.0421748]"
"0.618035 [0.0686537,  1.14049]","1.85528 [1.07107,  3.12832]","0.0350544 [0.0220889,  0.0522528]"
"0.574909 [0.202479,  0.936713]","1.77697 [1.22443,  2.55158]","0.0822178 [0.0612746,  0.107389]"
"0.464809 [-0.164893,  1.14451]","1.59171 [0.847985,  3.14089]","0.019868 [0.0108545,  0.0351412]"
"0.421126 [0.0461942,  0.801302]","1.52368 [1.04728,  2.22844]","0.117937 [0.0857279,  0.159779]"
"0.405446 [-0.0696489,  0.911606]","1.49997 [0.932721,  2.48832]","0.0515051 [0.0329962,  0.0793892]"
"0.357358 [0.0396084,  0.665732]","1.42955 [1.0404,  1.94591]","0.111429 [0.0870594,  0.139893]"
"0.350767 [-0.0835098,  0.805569]","1.42016 [0.919882,  2.23797]","0.0668758 [0.0451947,  0.0978839]"
"0.327017 [-0.230578,  1.05305]","1.38683 [0.794075,  2.86639]","0.0265588 [0.0149744,  0.0511593]"
"0.317553 [-0.24398,  0.849137]","1.37376 [0.783503,  2.33763]","0.0307696 [0.0189454,  0.0470236]"
"0.309953 [-0.0509427,  0.65824]","1.36336 [0.950333,  1.93139]","0.135444 [0.100275,  0.177841]"
"0.300281 [-0.35622,  1.03701]","1.35024 [0.700318,  2.82076]","0.0185786 [0.00965485,  0.0356596]"
"0.296888 [-0.0872865,  0.686212]","1.34567 [0.916414,  1.98618]","0.0841866 [0.0604671,  0.115325]"
"0.293731 [-0.165408,  0.815063]","1.34142 [0.847548,  2.25932]","0.0518386 [0.0340827,  0.0803009]"
"0.286711 [-0.151822,  0.784372]","1.33204 [0.859141,  2.19103]","0.0546026 [0.0364599,  0.0831018]"
"0.272353 [-0.0833714,  0.654592]","1.31305 [0.920009,  1.92436]","0.103432 [0.0757754,  0.140732]"
"0.271464 [-0.326362,  1.23096]","1.31188 [0.721544,  3.42453]","0.0541973 [0.0295519,  0.125735]"
"0.269375 [-0.186255,  0.745955]","1.30915 [0.830062, 2.10845]","0.0505325 [0.0337538,  0.0752226]"
"0.234836 [-0.385894,  1.17704]","1.2647 [0.679843,  3.24477]","0.0493232 [0.0261162,   0.114504]"
"0.232016 [-0.478276,  0.999872]","1.26114 [0.619851,  2.71793]","0.0158378 [0.00746266,  0.0324816]"
"0.216419 [-0.294009,  0.789341]","1.24162 [0.74527,  2.20194]","0.0432004 [0.0260662,  0.0717989]"
"0.21221 [-0.236843,  0.663641]","1.23641 [0.789115,  1.94185]","0.0508745 [0.033916,  0.0744189]"
"0.211386 [-0.399941,  1.07377]","1.23539 [0.67036,  2.92638]","0.062883 [0.0346627,  0.135602]"
"0.209935 [-0.401757,  0.899658]","1.2336 [0.669143,  2.45876]","0.0154918 [0.00825974,  0.0289743]"
"0.205077 [-0.116761,  0.517426]","1.22762 [0.889798,  1.6777]","0.103622 [0.0800456,  0.131348]"
"0.19834 [-0.254023,  0.68412]","1.21938 [0.775674,  1.98203]","0.0423011 [0.027432,  0.0648079]"
"0.197982 [-0.101729,  0.488554]","1.21894 [0.903275,    1.62996]","0.123034 [0.0972658,  0.152512]"
"0.195626 [-0.166365,  0.541603]","1.21607 [0.846737,  1.71876]","0.0964013 [0.0707851,  0.127634]"
"0.190587 [-0.288631,  0.642852]","1.20996 [0.749289,  1.9019]","0.0418707 [0.0269129,  0.0616963]"
"0.185958 [-0.444778,  0.90579]","1.20437 [0.640967,  2.47388]","0.0174487 [0.00907478,  0.034231]"
"0.182556 [-0.227639,  0.625455]","1.20028 [0.796412,  1.8691]","0.0571461 [0.0390513,  0.0835134]"
"0.181668 [-0.409878,  0.845712]","1.19922 [0.663731,  2.32963]","0.0166312 [0.00902899,  0.0299832]"
"0.18035 [-0.474007,  1.07307]","1.19764 [0.622503,  2.92433]","0.0493931 [0.0257236,  0.110171]"
"0.172897 [-0.256101,  0.584275]","1.18874 [0.774063,  1.79369]","0.0566313 [0.0382982,  0.0803355]"
"0.167767 [-0.159441,  0.489678]","1.18266 [0.852621,  1.63179]","0.119947 [0.09115,  0.154255]"
"0.161113 [-0.177121,  0.506032]","1.17482 [0.837678,  1.6587]","0.119073 [0.0891187,  0.157247]"
"0.157118 [-0.275675,  0.606371]","1.17013 [0.75906,  1.83376]","0.0932865 [0.0624799,  0.136886]"
"0.15489 [-0.50162,  1.23536]","1.16753 [0.605549,  3.4396]","0.0484734 [0.0251203,  0.126211]"
"0.152207 [-0.25477,  0.57781]","1.1644 [0.775095,  1.78213]","0.118351 [0.0823711,  0.168101]"
"0.149929 [-0.205108,  0.494935]","1.16175 [0.81456,  1.64039]","0.0986667 [0.0731206,  0.130635]"
"0.14891 [-0.342336,  0.649457]","1.16057 [0.710109,  1.9145]","0.0552986 [0.0347384,  0.0870926]"
"0.142293 [-1.83114,  2.69796]","1.15291 [0.160231,  14.8494]","0.0260804 [0.00364974,  0.25312]"
"0.126937 [-0.359862,  0.695844]","1.13535 [0.697773,  2.0054]","0.0444728 [0.0276314,  0.0745308]"
"0.126646 [-0.572588,  0.85849]","1.13501 [0.564064,  2.3596]","0.0157601 [0.00754082,  0.030743]"
"0.117441 [-0.474822,  0.749419]","1.12462 [0.621996,  2.11577]","0.0254161 [0.0140059,  0.0459148]"
"0.114564 [-0.724597,  1.38099]","1.12138 [0.48452,  3.97883]","0.0141735 [0.00572632,  0.0469064]"
"0.108133 [-0.566703,  0.742447]","1.1142 [0.567393,  2.10107]","0.0153615 [0.00791349,  0.0270991]"
