"","representative","niche","primary_cluster_id","GTDB_GENOME","gene_id","gene_id_all","present"
"1","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","AM261282.1_29",1
"2","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","AP018569.2_107",0
"3","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","AP019386.1_109",0
"4","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","AP019386.1_110",0
"5","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","AP026508.1_104",0
"6","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","AP027468.1_321",0
"7","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","CP034325.1_174",0
"8","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","CP034325.1_175",0
"9","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","CP057748.1_80",0
"10","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NC_010870.1_119",0
"11","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NZ_AP027706.1_49",0
"12","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NZ_CP019353.1_215",0
"13","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NZ_CP049291.1_137",0
"14","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NZ_CP053772.1_89",0
"15","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NZ_CP115377.1_59",0
"16","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NZ_CP139811.1_48",0
"17","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NZ_CP142966.1_27",0
"18","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NZ_CP146544.1_32",0
"19","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NZ_KP056256.1_146",0
